Time,Amplitude
0.108,0.490181256
0.109,0.408990179
0.11,0.318711995
0.111,0.228421228
0.112,0.147192405
0.113,0.083211764
0.114,0.042975923
0.115,0.030655933
0.116,0.047688979
0.117,0.09263769
0.118,0.161330828
0.119,0.247271591
0.12,0.342273553
0.121,0.437262003
0.122,0.523162229
0.123,0.591787808
0.124,0.63664194
0.125,0.653553391
0.126,0.641084793
0.127,0.60067334
0.128,0.536490088
0.129,0.455031663
0.13,0.364484314
0.131,0.273922575
0.132,0.192420983
0.133,0.128165788
0.134,0.087653618
0.135,0.075055535
0.136,0.091808735
0.137,0.136475859
0.138,0.20488568
0.139,0.290541405
0.14,0.385256621
0.141,0.479956628
0.142,0.565566726
0.143,0.633900504
0.144,0.678461171
0.145,0.695077506
0.146,0.682312154
0.147,0.641602318
0.148,0.577119068
0.149,0.495359041
0.15,0.404508497
0.151,0.313641984
0.152,0.23183405
0.153,0.167270956
0.154,0.126449344
0.155,0.113540287
0.156,0.129980995
0.157,0.174334118
0.158,0.242428444
0.159,0.327767193
0.16,0.422163963
0.161,0.516544066
0.162,0.601832817
0.163,0.669843814
0.164,0.714080283
0.165,0.730371014
0.166,0.717278663
0.167,0.676240449
0.168,0.611427453
0.169,0.529336326
0.17,0.43815334
0.171,0.346953057
0.172,0.264810038
0.173,0.199910557
0.174,0.15875127
0.175,0.145503262
0.176,0.161603757
0.177,0.20561542
0.178,0.27336705
0.179,0.358361881
0.18,0.452413526
0.181,0.546447311
0.182,0.631388561
0.183,0.699050892
0.184,0.742937541
0.185,0.758877313
0.186,0.745432879
0.187,0.704041468
0.188,0.638874179
0.189,0.556427675
0.19,0.464888243
0.191,0.373330458
0.192,0.290828896
0.193,0.225569845
0.194,0.184049974
0.195,0.170440384
0.196,0.186178313
0.197,0.229826439
0.198,0.297213577
0.199,0.381842974
0.2,0.475528258
0.201,0.569194769
0.202,0.653767848
0.203,0.721061124
0.204,0.764577849
0.205,0.780146843
0.206,0.766330791
0.207,0.724566937
0.208,0.659026395
0.209,0.576205842
0.21,0.484291581
0.211,0.3923582
0.212,0.309480291
0.213,0.243844157
0.214,0.201946482
0.215,0.187958381
0.216,0.203317107
0.217,0.246585354
0.218,0.313591951
0.219,0.39784016
0.22,0.491143625
0.221,0.584427701
0.222,0.668617743
0.223,0.735527396
0.224,0.778659927
0.225,0.79384417
0.226,0.779642827
0.227,0.737493158
0.228,0.671566289
0.229,0.588358914
0.23,0.496057351
0.231,0.403736204
0.232,0.32047008
0.233,0.254445297
0.234,0.212158554
0.235,0.197780982
0.236,0.21274985
0.237,0.255627866
0.238,0.322243874
0.239,0.406101155
0.24,0.499013364
0.241,0.591905873
0.242,0.675704054
0.243,0.742221566
0.244,0.784961691
0.245,0.79975328
0.246,0.78515905
0.247,0.742616275
0.248,0.676296098
0.249,0.592695229
0.25,0.5
0.251,0.407285032
0.252,0.323624946
0.253,0.257206078
0.254,0.21452514
0.255,0.19975328
0.256,0.214327781
0.257,0.256811369
0.258,0.323032903
0.259,0.406495677
0.26,0.499013364
0.261,0.591511351
0.262,0.674915026
0.263,0.741038062
0.264,0.783383759
0.265,0.797780982
0.266,0.782792463
0.267,0.739855494
0.268,0.673141231
0.269,0.589146401
0.27,0.496057351
0.271,0.402948717
0.272,0.318895137
0.273,0.252082961
0.274,0.209008917
0.275,0.19384417
0.276,0.208026017
0.277,0.250117199
0.278,0.315946592
0.279,0.399017504
0.28,0.491143625
0.281,0.583250357
0.282,0.666263102
0.283,0.73199555
0.284,0.773951017
0.285,0.787958381
0.286,0.772580391
0.287,0.729254354
0.288,0.662151442
0.289,0.577768397
0.29,0.484291581
0.291,0.390795646
0.292,0.306355244
0.293,0.239156741
0.294,0.195696881
0.295,0.180146843
0.296,0.19394394
0.297,0.235650927
0.298,0.301096697
0.299,0.383784572
0.3,0.475528258
0.301,0.567253171
0.302,0.649884728
0.303,0.715236636
0.304,0.756812223
0.305,0.770440384
0.306,0.754683884
0.307,0.710980042
0.308,0.643500047
0.309,0.558740655
0.31,0.464888243
0.311,0.371017478
0.312,0.286203028
0.313,0.218631272
0.314,0.174798969
0.315,0.158877313
0.316,0.172303631
0.317,0.213640695
0.318,0.27871741
0.319,0.361037114
0.32,0.452413526
0.321,0.543772078
0.322,0.626038201
0.323,0.691025617
0.324,0.732237667
0.325,0.745503262
0.326,0.729385179
0.327,0.685320754
0.328,0.617481189
0.329,0.532363253
0.33,0.43815334
0.331,0.343926129
0.332,0.258756302
0.333,0.190830252
0.334,0.146644754
0.335,0.130371014
0.336,0.143446373
0.337,0.184433618
0.338,0.249161665
0.339,0.33113387
0.34,0.422163963
0.341,0.513177389
0.342,0.595099596
0.343,0.659744315
0.344,0.700614904
0.345,0.713540287
0.346,0.697083254
0.347,0.652681153
0.348,0.584505201
0.349,0.499052181
0.35,0.404508497
0.351,0.309948845
0.352,0.224447917
0.353,0.156192121
0.354,0.111678244
0.355,0.095077506
0.356,0.107827261
0.357,0.148490307
0.358,0.212895575
0.359,0.294546432
0.36,0.385256621
0.361,0.475951602
0.362,0.557556831
0.363,0.621886056
0.364,0.662442645
0.365,0.675055535
0.366,0.658287528
0.367,0.613575985
0.368,0.545092134
0.369,0.459332771
0.37,0.364484314
0.371,0.269621467
0.372,0.183818937
0.373,0.115263143
0.374,0.070450884
0.375,0.053553391
0.376,0.06600803
0.377,0.106377611
0.378,0.170491077
0.379,0.251851806
0.38,0.342273553
0.381,0.432681788
0.382,0.51400198
0.383,0.578047887
0.384,0.618322889
0.385,0.630655933
0.386,0.613609833
0.387,0.568621961
0.388,0.499863556
0.389,0.413831425
0.39,0.318711995
0.391,0.223579983
0.392,0.137510105
0.393,0.068688792
0.394,0.023612852
0.395,0.006453527
0.396,0.018648194
0.397,0.058759673
0.398,0.122616916
0.399,0.203723312
0.4,0.293892626
0.401,0.384050338
0.402,0.465121927
0.403,0.528921161
0.404,0.568951429
0.405,0.581041689
0.406,0.563754763
0.407,0.518528034
0.408,0.449532749
0.409,0.363265724
0.41,0.267913397
0.411,0.172550494
0.412,0.086251739
0.413,0.017203573
0.414,-0.028097188
0.415,-0.045479292
0.416,-0.033505354
0.417,0.006387454
0.418,0.070028095
0.419,0.150919965
0.42,0.240876837
0.421,0.3308242
0.422,0.411687542
0.423,0.475280637
0.424,0.515106885
0.425,0.52699525
0.426,0.509508563
0.427,0.464084214
0.428,0.394893459
0.429,0.308433121
0.43,0.212889646
0.431,0.117337766
0.432,0.030852215
0.433,-0.038380561
0.434,-0.083863737
0.435,-0.101426055
0.436,-0.089630121
0.437,-0.049913102
0.438,0.013553972
0.439,0.094274505
0.44,0.184062276
0.441,0.273842782
0.442,0.354541515
0.443,0.417972258
0.444,0.457638416
0.445,0.46936896
0.446,0.451726727
0.447,0.406149113
0.448,0.336807381
0.449,0.250198358
0.45,0.154508497
0.451,0.058812537
0.452,-0.027814785
0.453,-0.097187015
0.454,-0.142807324
0.455,-0.160504447
0.456,-0.148840987
0.457,-0.109254104
0.458,-0.045914823
0.459,0.034680265
0.46,0.124344944
0.461,0.214004714
0.462,0.294585074
0.463,0.357899812
0.464,0.397452335
0.465,0.409071621
0.466,0.39132051
0.467,0.345636403
0.468,0.276190566
0.469,0.189479832
0.47,0.093690657
0.471,-0.002102216
0.472,-0.088824046
0.473,-0.158288376
0.474,-0.203998372
0.475,-0.221782767
0.476,-0.21020416
0.477,-0.170699707
0.478,-0.10744043
0.479,-0.026922919
0.48,0.062666617
0.481,0.152253678
0.482,0.232763768
0.483,0.296010675
0.484,0.335497812
0.485,0.347054157
0.486,0.329242553
0.487,0.283500404
0.488,0.213998978
0.489,0.127235111
0.49,0.03139526
0.491,-0.064445831
0.492,-0.151213417
0.493,-0.220721039
0.494,-0.266471864
0.495,-0.28429462
0.496,-0.272751907
0.497,-0.233280878
0.498,-0.170052556
0.499,-0.089563526
0.5,3.56E-16
0.501,0.089563526
0.502,0.170052556
0.503,0.233280878
0.504,0.272751907
0.505,0.28429462
0.506,0.266471864
0.507,0.220721039
0.508,0.151213417
0.509,0.064445831
0.51,-0.03139526
0.511,-0.127235111
0.512,-0.213998978
0.513,-0.283500404
0.514,-0.329242553
0.515,-0.347054157
0.516,-0.335497812
0.517,-0.296010675
0.518,-0.232763768
0.519,-0.152253678
0.52,-0.062666617
0.521,0.026922919
0.522,0.10744043
0.523,0.170699707
0.524,0.21020416
0.525,0.221782767
0.526,0.203998372
0.527,0.158288376
0.528,0.088824046
0.529,0.002102216
0.53,-0.093690657
0.531,-0.189479832
0.532,-0.276190566
0.533,-0.345636403
0.534,-0.39132051
0.535,-0.409071621
0.536,-0.397452335
0.537,-0.357899812
0.538,-0.294585074
0.539,-0.214004714
0.54,-0.124344944
0.541,-0.034680265
0.542,0.045914823
0.543,0.109254104
0.544,0.148840987
0.545,0.160504447
0.546,0.142807324
0.547,0.097187015
0.548,0.027814785
0.549,-0.058812537
0.55,-0.154508497
0.551,-0.250198358
0.552,-0.336807381
0.553,-0.406149113
0.554,-0.451726727
0.555,-0.46936896
0.556,-0.457638416
0.557,-0.417972258
0.558,-0.354541515
0.559,-0.273842782
0.56,-0.184062276
0.561,-0.094274505
0.562,-0.013553972
0.563,0.049913102
0.564,0.089630121
0.565,0.101426055
0.566,0.083863737
0.567,0.038380561
0.568,-0.030852215
0.569,-0.117337766
0.57,-0.212889646
0.571,-0.308433121
0.572,-0.394893459
0.573,-0.464084214
0.574,-0.509508563
0.575,-0.52699525
0.576,-0.515106885
0.577,-0.475280637
0.578,-0.411687542
0.579,-0.3308242
0.58,-0.240876837
0.581,-0.150919965
0.582,-0.070028095
0.583,-0.006387454
0.584,0.033505354
0.585,0.045479292
0.586,0.028097188
0.587,-0.017203573
0.588,-0.086251739
0.589,-0.172550494
0.59,-0.267913397
0.591,-0.363265724
0.592,-0.449532749
0.593,-0.518528034
0.594,-0.563754763
0.595,-0.581041689
0.596,-0.568951429
0.597,-0.528921161
0.598,-0.465121927
0.599,-0.384050338
0.6,-0.293892626
0.601,-0.203723312
0.602,-0.122616916
0.603,-0.058759673
0.604,-0.018648194
0.605,-0.006453527
0.606,-0.023612852
0.607,-0.068688792
0.608,-0.137510105
0.609,-0.223579983
0.61,-0.318711995
0.611,-0.413831425
0.612,-0.499863556
0.613,-0.568621961
0.614,-0.613609833
0.615,-0.630655933
0.616,-0.618322889
0.617,-0.578047887
0.618,-0.51400198
0.619,-0.432681788
0.62,-0.342273553
0.621,-0.251851806
0.622,-0.170491077
0.623,-0.106377611
0.624,-0.06600803
0.625,-0.053553391
0.626,-0.070450884
0.627,-0.115263143
0.628,-0.183818937
0.629,-0.269621467
0.63,-0.364484314
0.631,-0.459332771
0.632,-0.545092134
0.633,-0.613575985
0.634,-0.658287528
0.635,-0.675055535
0.636,-0.662442645
0.637,-0.621886056
0.638,-0.557556831
0.639,-0.475951602
0.64,-0.385256621
0.641,-0.294546432
0.642,-0.212895575
0.643,-0.148490307
0.644,-0.107827261
0.645,-0.095077506
0.646,-0.111678244
0.647,-0.156192121
0.648,-0.224447917
0.649,-0.309948845
0.65,-0.404508497
0.651,-0.499052181
0.652,-0.584505201
0.653,-0.652681153
0.654,-0.697083254
0.655,-0.713540287
0.656,-0.700614904
0.657,-0.659744315
0.658,-0.595099596
0.659,-0.513177389
0.66,-0.422163963
0.661,-0.33113387
0.662,-0.249161665
0.663,-0.184433618
0.664,-0.143446373
0.665,-0.130371014
0.666,-0.146644754
0.667,-0.190830252
0.668,-0.258756302
0.669,-0.343926129
0.67,-0.43815334
0.671,-0.532363253
0.672,-0.617481189
0.673,-0.685320754
0.674,-0.729385179
0.675,-0.745503262
0.676,-0.732237667
0.677,-0.691025617
0.678,-0.626038201
0.679,-0.543772078
0.68,-0.452413526
0.681,-0.361037114
0.682,-0.27871741
0.683,-0.213640695
0.684,-0.172303631
0.685,-0.158877313
0.686,-0.174798969
0.687,-0.218631272
0.688,-0.286203028
0.689,-0.371017478
0.69,-0.464888243
0.691,-0.558740655
0.692,-0.643500047
0.693,-0.710980042
0.694,-0.754683884
0.695,-0.770440384
0.696,-0.756812223
0.697,-0.715236636
0.698,-0.649884728
0.699,-0.567253171
0.7,-0.475528258
0.701,-0.383784572
0.702,-0.301096697
0.703,-0.235650927
0.704,-0.19394394
0.705,-0.180146843
0.706,-0.195696881
0.707,-0.239156741
0.708,-0.306355244
0.709,-0.390795646
0.71,-0.484291581
0.711,-0.577768397
0.712,-0.662151442
0.713,-0.729254354
0.714,-0.772580391
0.715,-0.787958381
0.716,-0.773951017
0.717,-0.73199555
0.718,-0.666263102
0.719,-0.583250357
0.72,-0.491143625
0.721,-0.399017504
0.722,-0.315946592
0.723,-0.250117199
0.724,-0.208026017
0.725,-0.19384417
0.726,-0.209008917
0.727,-0.252082961
0.728,-0.318895137
0.729,-0.402948717
0.73,-0.496057351
0.731,-0.589146401
0.732,-0.673141231
0.733,-0.739855494
0.734,-0.782792463
0.735,-0.797780982
0.736,-0.783383759
0.737,-0.741038062
0.738,-0.674915026
0.739,-0.591511351
0.74,-0.499013364
0.741,-0.406495677
0.742,-0.323032903
0.743,-0.256811369
0.744,-0.214327781
0.745,-0.19975328
0.746,-0.21452514
0.747,-0.257206078
0.748,-0.323624946
0.749,-0.407285032
0.75,-0.5
0.751,-0.592695229
0.752,-0.676296098
0.753,-0.742616275
0.754,-0.78515905
0.755,-0.79975328
0.756,-0.784961691
0.757,-0.742221566
0.758,-0.675704054
0.759,-0.591905873
0.76,-0.499013364
0.761,-0.406101155
0.762,-0.322243874
0.763,-0.255627866
0.764,-0.21274985
0.765,-0.197780982
0.766,-0.212158554
0.767,-0.254445297
0.768,-0.32047008
0.769,-0.403736204
0.77,-0.496057351
0.771,-0.588358914
0.772,-0.671566289
0.773,-0.737493158
0.774,-0.779642827
0.775,-0.79384417
0.776,-0.778659927
0.777,-0.735527396
0.778,-0.668617743
0.779,-0.584427701
0.78,-0.491143625
0.781,-0.39784016
0.782,-0.313591951
0.783,-0.246585354
0.784,-0.203317107
0.785,-0.187958381
0.786,-0.201946482
0.787,-0.243844157
0.788,-0.309480291
0.789,-0.3923582
0.79,-0.484291581
0.791,-0.576205842
0.792,-0.659026395
0.793,-0.724566937
0.794,-0.766330791
0.795,-0.780146843
0.796,-0.764577849
0.797,-0.721061124
0.798,-0.653767848
0.799,-0.569194769
0.8,-0.475528258
0.801,-0.381842974
0.802,-0.297213577
0.803,-0.229826439
0.804,-0.186178313
0.805,-0.170440384
0.806,-0.184049974
0.807,-0.225569845
0.808,-0.290828896
0.809,-0.373330458
0.81,-0.464888243
0.811,-0.556427675
0.812,-0.638874179
0.813,-0.704041468
0.814,-0.745432879
0.815,-0.758877313
0.816,-0.742937541
0.817,-0.699050892
0.818,-0.631388561
0.819,-0.546447311
0.82,-0.452413526
0.821,-0.358361881
0.822,-0.27336705
0.823,-0.20561542
0.824,-0.161603757
0.825,-0.145503262
0.826,-0.15875127
0.827,-0.199910557
0.828,-0.264810038
0.829,-0.346953057
0.83,-0.43815334
0.831,-0.529336326
0.832,-0.611427453
0.833,-0.676240449
0.834,-0.717278663
0.835,-0.730371014
0.836,-0.714080283
0.837,-0.669843814
0.838,-0.601832817
0.839,-0.516544066
0.84,-0.422163963
0.841,-0.327767193
0.842,-0.242428444
0.843,-0.174334118
0.844,-0.129980995
0.845,-0.113540287
0.846,-0.126449344
0.847,-0.167270956
0.848,-0.23183405
0.849,-0.313641984
0.85,-0.404508497
0.851,-0.495359041
0.852,-0.577119068
0.853,-0.641602318
0.854,-0.682312154
0.855,-0.695077506
0.856,-0.678461171
0.857,-0.633900504
0.858,-0.565566726
0.859,-0.479956628
0.86,-0.385256621
0.861,-0.290541405
0.862,-0.20488568
0.863,-0.136475859
0.864,-0.091808735
0.865,-0.075055535
0.866,-0.087653618
0.867,-0.128165788
0.868,-0.192420983
0.869,-0.273922575
0.87,-0.364484314
0.871,-0.455031663
0.872,-0.536490088
0.873,-0.60067334
0.874,-0.641084793
0.875,-0.653553391
0.876,-0.63664194
0.877,-0.591787808
0.878,-0.523162229
0.879,-0.437262003
0.88,-0.342273553
0.881,-0.247271591
0.882,-0.161330828
0.883,-0.09263769
0.884,-0.047688979
0.885,-0.030655933
0.886,-0.042975923
0.887,-0.083211764
0.888,-0.147192405
0.889,-0.228421228
0.89,-0.318711995
0.891,-0.408990179
0.892,-0.490181256
0.893,-0.554098989
0.894,-0.594246761
0.895,-0.606453527
0.896,-0.589282104
0.897,-0.544169869
0.898,-0.475288067
0.899,-0.389133508
0.9,-0.293892626
0.901,-0.198640142
0.902,-0.112450776
0.903,-0.043510964
0.904,0.00168248
0.905,0.018958311
0.906,0.006879147
0.907,-0.033117837
0.908,-0.096861598
0.909,-0.177855528
0.91,-0.267913397
0.911,-0.35796069
0.912,-0.438922891
0.913,-0.50261377
0.914,-0.542536722
0.915,-0.554520708
0.916,-0.537128556
0.917,-0.491797651
0.918,-0.422699246
0.919,-0.336330161
0.92,-0.240876837
0.921,-0.145414004
0.922,-0.05901639
0.923,0.010129559
0.924,0.055527025
0.925,0.07300475
0.926,0.061125347
0.927,0.021325983
0.928,-0.042222308
0.929,-0.123022925
0.93,-0.212889646
0.931,-0.302747963
0.932,-0.383523366
0.933,-0.447029636
0.934,-0.486770173
0.935,-0.498573945
0.936,-0.481003788
0.937,-0.435497094
0.938,-0.366225123
0.939,-0.279684701
0.94,-0.184062276
0.941,-0.088432585
0.942,-0.001870364
0.943,0.067437938
0.944,0.112995493
0.945,0.13063104
0.946,0.118907183
0.947,0.079261083
0.948,0.015863771
0.949,-0.064788162
0.95,-0.154508497
0.951,-0.244222733
0.952,-0.324856366
0.953,-0.388223182
0.954,-0.427826586
0.955,-0.439495553
0.956,-0.421792923
0.957,-0.376156093
0.958,-0.306756329
0.959,-0.220090461
0.96,-0.124344944
0.961,-0.028594517
0.962,0.058086077
0.963,0.127510385
0.964,0.173181574
0.965,0.190928379
0.966,0.1793134
0.967,0.139773794
0.968,0.076480585
0.969,-0.004069636
0.97,-0.093690657
0.971,-0.18330798
0.972,-0.263847105
0.973,-0.327121821
0.974,-0.366635537
0.975,-0.378217233
0.976,-0.360429749
0.977,-0.31471049
0.978,-0.245230721
0.979,-0.158487278
0.98,-0.062666617
0.981,0.033156518
0.982,0.119907383
0.983,0.189399521
0.984,0.235136097
0.985,0.252945843
0.986,0.241391357
0.987,0.201909793
0.988,0.138672173
0.989,0.058175085
0.99,-0.03139526
0.991,-0.120964366
0.992,-0.201457735
0.993,-0.264689157
0.994,-0.304162046
0.995,-0.31570538
0.996,-0.297882003
0.997,-0.252129318
0.998,-0.182618596
0.999,-0.09584667
1,4.67E-16
1.001,0.09584667
1.002,0.182618596
1.003,0.252129318
1.004,0.297882003
1.005,0.31570538
1.006,0.304162046
1.007,0.264689157
1.008,0.201457735
1.009,0.120964366
1.01,0.03139526
1.011,-0.058175085
1.012,-0.138672173
1.013,-0.201909793
1.014,-0.241391357
1.015,-0.252945843
1.016,-0.235136097
1.017,-0.189399521
1.018,-0.119907383
1.019,-0.033156518
1.02,0.062666617
1.021,0.158487278
1.022,0.245230721
1.023,0.31471049
1.024,0.360429749
1.025,0.378217233
1.026,0.366635537
1.027,0.327121821
1.028,0.263847105
1.029,0.18330798
1.03,0.093690657
1.031,0.004069636
1.032,-0.076480585
1.033,-0.139773794
1.034,-0.1793134
1.035,-0.190928379
1.036,-0.173181574
1.037,-0.127510385
1.038,-0.058086077
1.039,0.028594517
1.04,0.124344944
1.041,0.220090461
1.042,0.306756329
1.043,0.376156093
1.044,0.421792923
1.045,0.439495553
1.046,0.427826586
1.047,0.388223182
1.048,0.324856366
1.049,0.244222733
1.05,0.154508497
1.051,0.064788162
1.052,-0.015863771
1.053,-0.079261083
1.054,-0.118907183
1.055,-0.13063104
1.056,-0.112995493
1.057,-0.067437938
1.058,0.001870364
1.059,0.088432585
1.06,0.184062276
1.061,0.279684701
1.062,0.366225123
1.063,0.435497094
1.064,0.481003788
1.065,0.498573945
1.066,0.486770173
1.067,0.447029636
1.068,0.383523366
1.069,0.302747963
1.07,0.212889646
1.071,0.123022925
1.072,0.042222308
1.073,-0.021325983
1.074,-0.061125347
1.075,-0.07300475
1.076,-0.055527025
1.077,-0.010129559
1.078,0.05901639
1.079,0.145414004
1.08,0.240876837
1.081,0.336330161
1.082,0.422699246
1.083,0.491797651
1.084,0.537128556
1.085,0.554520708
1.086,0.542536722
1.087,0.50261377
1.088,0.438922891
1.089,0.35796069
1.09,0.267913397
1.091,0.177855528
1.092,0.096861598
1.093,0.033117837
1.094,-0.006879147
1.095,-0.018958311
1.096,-0.00168248
1.097,0.043510964
1.098,0.112450776
1.099,0.198640142
1.1,0.293892626
1.101,0.389133508
1.102,0.475288067
1.103,0.544169869
1.104,0.589282104
1.105,0.606453527
1.106,0.594246761
1.107,0.554098989
1.108,0.490181256
1.109,0.408990179
1.11,0.318711995
1.111,0.228421228
1.112,0.147192405
1.113,0.083211764
1.114,0.042975923
1.115,0.030655933
1.116,0.047688979
1.117,0.09263769
1.118,0.161330828
1.119,0.247271591
1.12,0.342273553
1.121,0.437262003
1.122,0.523162229
1.123,0.591787808
1.124,0.63664194
1.125,0.653553391
1.126,0.641084793
1.127,0.60067334
1.128,0.536490088
1.129,0.455031663
1.13,0.364484314
1.131,0.273922575
1.132,0.192420983
1.133,0.128165788
1.134,0.087653618
1.135,0.075055535
1.136,0.091808735
1.137,0.136475859
1.138,0.20488568
1.139,0.290541405
1.14,0.385256621
1.141,0.479956628
1.142,0.565566726
1.143,0.633900504
1.144,0.678461171
1.145,0.695077506
1.146,0.682312154
1.147,0.641602318
1.148,0.577119068
1.149,0.495359041
1.15,0.404508497
1.151,0.313641984
1.152,0.23183405
1.153,0.167270956
1.154,0.126449344
1.155,0.113540287
1.156,0.129980995
1.157,0.174334118
1.158,0.242428444
1.159,0.327767193
1.16,0.422163963
1.161,0.516544066
1.162,0.601832817
1.163,0.669843814
1.164,0.714080283
1.165,0.730371014
1.166,0.717278663
1.167,0.676240449
1.168,0.611427453
1.169,0.529336326
1.17,0.43815334
1.171,0.346953057
1.172,0.264810038
1.173,0.199910557
1.174,0.15875127
1.175,0.145503262
1.176,0.161603757
1.177,0.20561542
1.178,0.27336705
1.179,0.358361881
1.18,0.452413526
1.181,0.546447311
1.182,0.631388561
1.183,0.699050892
1.184,0.742937541
1.185,0.758877313
1.186,0.745432879
1.187,0.704041468
1.188,0.638874179
1.189,0.556427675
1.19,0.464888243
1.191,0.373330458
1.192,0.290828896
1.193,0.225569845
1.194,0.184049974
1.195,0.170440384
1.196,0.186178313
1.197,0.229826439
1.198,0.297213577
1.199,0.381842974
1.2,0.475528258
1.201,0.569194769
1.202,0.653767848
1.203,0.721061124
1.204,0.764577849
1.205,0.780146843
1.206,0.766330791
1.207,0.724566937
1.208,0.659026395
1.209,0.576205842
1.21,0.484291581
1.211,0.3923582
1.212,0.309480291
1.213,0.243844157
1.214,0.201946482
1.215,0.187958381
1.216,0.203317107
1.217,0.246585354
1.218,0.313591951
1.219,0.39784016
1.22,0.491143625
1.221,0.584427701
1.222,0.668617743
1.223,0.735527396
1.224,0.778659927
1.225,0.79384417
1.226,0.779642827
1.227,0.737493158
1.228,0.671566289
1.229,0.588358914
1.23,0.496057351
1.231,0.403736204
1.232,0.32047008
1.233,0.254445297
1.234,0.212158554
1.235,0.197780982
1.236,0.21274985
1.237,0.255627866
1.238,0.322243874
1.239,0.406101155
1.24,0.499013364
1.241,0.591905873
1.242,0.675704054
1.243,0.742221566
1.244,0.784961691
1.245,0.79975328
1.246,0.78515905
1.247,0.742616275
1.248,0.676296098
1.249,0.592695229
1.25,0.5
1.251,0.407285032
1.252,0.323624946
1.253,0.257206078
1.254,0.21452514
1.255,0.19975328
1.256,0.214327781
1.257,0.256811369
1.258,0.323032903
1.259,0.406495677
1.26,0.499013364
1.261,0.591511351
1.262,0.674915026
1.263,0.741038062
1.264,0.783383759
1.265,0.797780982
1.266,0.782792463
1.267,0.739855494
1.268,0.673141231
1.269,0.589146401
1.27,0.496057351
1.271,0.402948717
1.272,0.318895137
1.273,0.252082961
1.274,0.209008917
1.275,0.19384417
1.276,0.208026017
1.277,0.250117199
1.278,0.315946592
1.279,0.399017504
1.28,0.491143625
1.281,0.583250357
1.282,0.666263102
1.283,0.73199555
1.284,0.773951017
1.285,0.787958381
1.286,0.772580391
1.287,0.729254354
1.288,0.662151442
1.289,0.577768397
1.29,0.484291581
1.291,0.390795646
1.292,0.306355244
1.293,0.239156741
1.294,0.195696881
1.295,0.180146843
1.296,0.19394394
1.297,0.235650927
1.298,0.301096697
1.299,0.383784572
1.3,0.475528258
1.301,0.567253171
1.302,0.649884728
1.303,0.715236636
1.304,0.756812223
1.305,0.770440384
1.306,0.754683884
1.307,0.710980042
1.308,0.643500047
1.309,0.558740655
1.31,0.464888243
1.311,0.371017478
1.312,0.286203028
1.313,0.218631272
1.314,0.174798969
1.315,0.158877313
1.316,0.172303631
1.317,0.213640695
1.318,0.27871741
1.319,0.361037114
1.32,0.452413526
1.321,0.543772078
1.322,0.626038201
1.323,0.691025617
1.324,0.732237667
1.325,0.745503262
1.326,0.729385179
1.327,0.685320754
1.328,0.617481189
1.329,0.532363253
1.33,0.43815334
1.331,0.343926129
1.332,0.258756302
1.333,0.190830252
1.334,0.146644754
1.335,0.130371014
1.336,0.143446373
1.337,0.184433618
1.338,0.249161665
1.339,0.33113387
1.34,0.422163963
1.341,0.513177389
1.342,0.595099596
1.343,0.659744315
1.344,0.700614904
1.345,0.713540287
